Restaurant Name,Common Name,Inspection Date,Score,Address,Facility City,Zip Code,Facility ID,Process Description,
Costco #681 Retail,,9/15/2016,96,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.39661367439807, -97.74388354760697)",AUSTIN,78759,2803772,Routine Inspection,
Snap Kitchen #7,,12/31/2018,94,"3563 FAR WEST BLVD
AUSTIN, TX 78731
(30.352934493007375, -97.75395047748431)",AUSTIN,78731,10959490,Routine Inspection,
Jersey Mike's Subs,,4/25/2018,97,"4404 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.223628115928914, -97.83951594127925)",AUSTIN,78749,10181920,Routine Inspection,
Omni Barton Creek Resort & Spa-Lobby Shop,,12/13/2016,97,"8212 BARTON CLUB DR
AUSTIN, TX 78735
(30.2924915177895, -97.85977514590203)",AUSTIN,78735,11084420,Routine Inspection,
El Mercado Restaurant Uptown,,1/2/2019,92,"1702 LAVACA ST
AUSTIN, TX 78701
(30.2797653889794, -97.74146093028703)",AUSTIN,78701,2800902,Routine Inspection,
II Brutto,,12/11/2018,96,"1601 E 6TH ST
AUSTIN, TX 78702
(30.262810441767563, -97.72646205913892)",AUSTIN,78702,11849004,Routine Inspection,
Shakespeare's Pub,,6/11/2018,84,"314 E 6TH ST
AUSTIN, TX 78701
(30.267532453485643, -97.73972348147251)",AUSTIN,78701,2801169,Routine Inspection,
Austin Country Club,,3/10/2017,93,"4408 LONG CHAMP DR
AUSTIN, TX 78746
(30.34289117538752, -97.79726231093836)",AUSTIN,78746,2800076,1st Follow Up to Routine of 50 - 69,
ABIA Ruta Maya,,7/10/2018,91,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202014198206186, -97.66688417330988)",AUSTIN,78719,10790198,Routine Inspection,
Westview Middle School,,9/8/2017,84,"1805 SCOFIELD LN
AUSTIN, TX 78727
(30.41719104036435, -97.6895439830529)",AUSTIN,78727,2800285,Routine Inspection,
La Quinta Inn & Suites # 937,,5/23/2017,98,"11901 N MOPAC EXPY
AUSTIN, TX 78759
(30.406903181654954, -97.71866519371777)",AUSTIN,78759,2803222,Routine Inspection,
El Buen Pastor Child Dev. Cent,,12/19/2018,100,"1208 WILLOW ST
AUSTIN, TX 78702
(30.259096728753, -97.73210552460782)",AUSTIN,78702,2801293,Routine Inspection,
Walgreens #05159,,9/7/2018,97,"7410 MC NEIL DR
AUSTIN, TX 78729
(30.435101087264098, -97.76917747794866)",AUSTIN,78729,2803745,Routine Inspection,
Sushi Zushi,,12/13/2016,90,"3221 FEATHERGRASS CT
AUSTIN, TX 78758
(30.394786000847787, -97.72774598366631)",AUSTIN,78758,10391919,Routine Inspection,
Pei Wei,,9/9/2016,85,"1000 E 41ST ST
AUSTIN, TX 78751
(30.300469388987977, -97.71965420627991)",AUSTIN,78751,2802532,Routine Inspection,
Pillow Elementary,,4/4/2018,98,"3025 CROSSCREEK DR
AUSTIN, TX 78757
(30.36946718029355, -97.73326152225253)",AUSTIN,78757,2800430,Routine Inspection,
Don's Short Stop,,12/22/2017,91,"13900 IMMANUEL RD
AUSTIN, TX 78660
(30.40628759140035, -97.6290153764571)",AUSTIN,78660,2803434,Routine Inspection,
7 Days Food Store,,1/23/2018,95,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.21024384241019, -97.78705013897601)",AUSTIN,78745,2804068,Routine Inspection,
Moloko,,11/15/2018,98,"1812 E 12TH ST
AUSTIN, TX 78702
(30.273806499505742, -97.72011175871917)",AUSTIN,78702,11597236,Routine Inspection,
Eastside King,,3/9/2018,82,"11601 ROCK ROSE AVE
AUSTIN, TX 78758
(30.4015740379405, -97.72226751840472)",AUSTIN,78758,11478841,Routine Inspection,
McDonald's #7877,McDonald's,8/9/2017,92,"7010 W SH
AUSTIN, TX 78735
(30.235805771974658, -97.87599849141607)",AUSTIN,78735,2801429,Routine Inspection,
Downstairs Coffee Lounge,,12/31/2018,91,"504 LAVACA ST
AUSTIN, TX 78701
(30.26814355381293, -97.74564508031071)",AUSTIN,78701,11684171,Routine Inspection,
Pizzaria Paparazzi,,2/28/2019,93,"313 1 2 E 6TH ST
AUSTIN, TX 78701
(30.267145629857268, -97.73985035154149)",AUSTIN,78701,10903812,Routine Inspection,
BC - Yaghi's New York Pizzeria,,11/27/2017,98,"12400 W SH
BEE CAVE, TX 78738
(30.30435961504665, -97.93224833347215)",AUSTIN,78738,10262085,Routine Inspection,
"Club Demonstration Services, Inc",,9/15/2016,98,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.39661367439807, -97.74388354760697)",AUSTIN,78759,11291484,Routine Inspection,
This N That Craft,,6/16/2017,93,"1729 E RIVERSIDE DR
AUSTIN, TX 78741
(30.2432308582188, -97.73038414180246)",AUSTIN,78741,10317661,Routine Inspection,
Westin Austin Downtown,,4/9/2018,92,"310 E 5TH ST
AUSTIN, TX 78701
(30.266483473271116, -97.74023054499406)",AUSTIN,78701,11377565,Routine Inspection,
Dunkin' Donuts/Baskin Robbins,,8/24/2018,87,"2402 GUADALUPE ST
AUSTIN, TX 78705
(30.28788246705373, -97.74190928980428)",AUSTIN,78705,11824247,Routine Inspection,
La Matta,,6/5/2018,93,"501 COMAL ST
AUSTIN, TX 78702
(30.26223850607202, -97.72670516263025)",AUSTIN,78702,11804761,Routine Inspection,
Modern Market,,12/22/2017,94,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.272814654152963, -97.80018542011135)",AUSTIN,78746,11709808,Routine Inspection,
Acacia Fraternity,,12/4/2018,85,"2614 RIO GRANDE ST
AUSTIN, TX 78705
(30.291682738378302, -97.74464972538529)",AUSTIN,78705,10800901,Routine Inspection,
Conans Pizza - South,,11/8/2016,95,"2018 W STASSNEY LN
AUSTIN, TX 78745
(30.21623634750685, -97.79825859242484)",AUSTIN,78745,2800196,Routine Inspection,
Opa,,3/8/2018,88,"2050 S LAMAR BLVD
AUSTIN, TX 78704
(30.2489208120412, -97.7695058044827)",AUSTIN,78704,10223834,Routine Inspection,
Springhill Suites,,8/6/2018,95,"10936 STONELAKE BLVD
AUSTIN, TX 78759
(30.39889558459946, -97.73283038048162)",AUSTIN,78759,2801648,Routine Inspection,
Del Valle ISD Concessions - (Visitor),,9/18/2018,95,"5201 ROSS RD
AUSTIN, TX 78617
(30.178817090159956, -97.61262598510265)",AUSTIN,78617,11769827,Routine Inspection,
Marias Mexican Restaurant,,8/29/2016,94,"13000 N IH
AUSTIN, TX 78753
(30.415552893511457, -97.67477380755389)",AUSTIN,78753,11230438,Routine Inspection,
Thirsty Turtle,,1/23/2018,90,"1200 W HOWARD LN
AUSTIN, TX 78660
(30.42419546472851, -97.66974604510119)",AUSTIN,78660,11268694,Routine Inspection,
Little Woodrow's,,8/28/2017,93,"12601 TECH RIDGE BLVD
AUSTIN, TX 78753
(30.4001512953954, -97.65852355407898)",AUSTIN,78753,11440024,Routine Inspection,
Austin Oaks Hospital,,3/2/2017,100,"1407 W STASSNEY LN
AUSTIN, TX 78745
(30.211641166610907, -97.79176565232433)",AUSTIN,78745,10929524,Routine Inspection,
Wingzup,,8/3/2018,91,"1000 E 41ST ST
AUSTIN, TX 78751
(30.300469388987977, -97.71965420627991)",AUSTIN,78751,10583318,Routine Inspection,
BC - Bamam,,2/16/2017,89,"14211 W SH
BEE CAVE, TX 78738
(30.309209385434627, -97.96321926612337)",AUSTIN,78738,10737435,Routine Inspection,
Accent Food Services,,4/11/2018,100,"2201 DONLEY DR
AUSTIN, TX 78758
(30.388403165161975, -97.7140315875011)",AUSTIN,78758,11621509,Routine Inspection,
CVS Pharmacy #6964,,10/29/2018,97,"2610 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.281568609381658, -97.77506105304636)",AUSTIN,78703,2804016,Routine Inspection,
Star Stop 73,,6/16/2017,90,"1919 S PLEASANT VALLEY RD
AUSTIN, TX 78741
(30.23402731976785, -97.72210178954681)",AUSTIN,78741,11027926,Routine Inspection,
Reilly Elementary,,3/20/2017,98,"405 DENSON DR
AUSTIN, TX 78752
(30.328127348091208, -97.71991011694217)",AUSTIN,78752,2800178,Routine Inspection,
Teapioca Lounge,,12/5/2016,98,"9600 S IH
AUSTIN, TX 78748
(30.160573658436128, -97.79244598072681)",AUSTIN,78748,10693969,Routine Inspection,
Cost Plus World Market #74,,5/19/2017,98,"9333 RESEARCH BLVD
AUSTIN, TX 78759
(30.382729629789534, -97.739656945182)",AUSTIN,78759,2803873,Routine Inspection,
La Michoacana Taqueria,,11/28/2017,97,"1917 E 7TH ST
AUSTIN, TX 78702
(30.262158898953224, -97.72155046133436)",AUSTIN,78702,2801030,Routine Inspection,
Afri Carib Market,,11/23/2016,96,"825 E RUNDBERG LN
AUSTIN, TX 78753
(30.356446386005587, -97.686853112491)",AUSTIN,78753,2804104,Routine Inspection,
Dell Seton Medical Center at the University of Texas,,12/18/2018,90,"1500 RED RIVER ST
AUSTIN, TX 78701
(30.276438010373358, -97.73438283810304)",AUSTIN,78701,11627907,Routine Inspection,
BC - Schmidt Family Barbecue,,10/25/2016,99,"12532 FM 2244 RD
BEE CAVE, TX 78738
(30.30553590586224, -97.93546594244305)",AUSTIN,78738,10967911,Routine Inspection,
Bombay Express,,8/3/2016,92,"13000 N IH
AUSTIN, TX 78753
(30.415552893511457, -97.67477380755389)",AUSTIN,78753,10001837,Routine Inspection,
Casa Linda Taqueria,,3/9/2018,100,"623 W DITTMAR RD
AUSTIN, TX 78745
(30.18328041974652, -97.79219821952788)",AUSTIN,78745,11048159,Routine Inspection,
MN - Eintrage Gas Station,,9/14/2017,84,"12305 EINTRAGE DR
MANOR, TX 78653
(30.346960128210274, -97.56509772560533)",AUSTIN,78653,11508097,Routine Inspection,
Violet Crown Cinema,,8/3/2016,85,"434 W 2ND ST
AUSTIN, TX 78701
(30.265554708957282, -97.7480766462535)",AUSTIN,78701,10578995,Routine Inspection,
Steampunk Saloon,,1/5/2017,91,"700 W 6TH ST
AUSTIN, TX 78701
(30.270212151644856, -97.74969239799083)",AUSTIN,78701,11441813,Routine Inspection,
Pond Springs Food Mart,,2/26/2019,70,"13436 POND SPRINGS RD
AUSTIN, TX 78729
(30.450497346404294, -97.78602279271564)",AUSTIN,78729,10090419,Routine Inspection,
Santos Taqueria,,11/8/2016,91,"4511 AIRPORT BLVD
AUSTIN, TX 78751
(30.30383099836333, -97.7154798819484)",AUSTIN,78751,11479895,Routine Inspection,
Cafe 605 (Hotel Van Zandt),,1/31/2017,92,"605 DAVIS ST
AUSTIN, TX 78701
(30.260108867371816, -97.73921713646921)",AUSTIN,78701,11424904,Routine Inspection,
Foxhole Culinary Tavern,,8/19/2016,74,"13995 N US 183 HWY
AUSTIN, TX 78717
(30.47440556612887, -97.79844153355583)",AUSTIN,78717,11165272,Routine Inspection,
Boulevards Grill & Bar,,1/30/2018,87,"3616 FAR WEST BLVD
AUSTIN, TX 78731
(30.355017741973768, -97.75551691747077)",AUSTIN,78731,2802419,Routine Inspection,
Generations / Night Care,,3/30/2017,94,"8203 SAM RAYBURN DR
AUSTIN, TX 78753
(30.346309885629367, -97.69973832348411)",AUSTIN,78753,2800512,Routine Inspection,
Subway,SUBWAY,4/28/2017,87,"6311 BURLESON RD
AUSTIN, TX 78744
(30.204910035054468, -97.71629407274767)",AUSTIN,78744,11569065,Routine Inspection,
Wingstop #706,,3/4/2019,89,"7112 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.312564782427636, -97.66380213698123)",AUSTIN,78723,11158923,Routine Inspection,
Faith Lutheran Church,,3/12/2018,97,"6600 WOODROW AVE
AUSTIN, TX 78757
(30.33789355780146, -97.72861879129262)",AUSTIN,78757,10800848,Routine Inspection,
Faith Lutheran Church,,8/29/2016,93,"6600 WOODROW AVE
AUSTIN, TX 78757
(30.33789355780146, -97.72861879129262)",AUSTIN,78757,10800848,Routine Inspection,
Austin Club Carnaval,,1/10/2017,95,"2237 E RIVERSIDE DR
AUSTIN, TX 78741
(30.238214915171437, -97.72624567571854)",AUSTIN,78741,11200039,Routine Inspection,
Kiker Elementary,,8/27/2018,99,"5913 LA CROSSE AVE
AUSTIN, TX 78739
(30.191875610751776, -97.88138492267619)",AUSTIN,78739,2800126,Routine Inspection,
G & S Lounge,,9/15/2017,97,"2420 S 1ST ST
AUSTIN, TX 78704
(30.241476931444215, -97.76040620281915)",AUSTIN,78704,2800845,Routine Inspection,
LW-The Harbor at Lakeway,,1/2/2019,87,"300 MEDICAL PKWY
LAKEWAY, TX 78738
(30.331001074340183, -97.97126954207054)",AUSTIN,78738,11924264,Routine Inspection,
R S Food Mart,,1/3/2018,94,"1219 ROSEWOOD AVE
AUSTIN, TX 78702
(30.26845724074423, -97.72579900811449)",AUSTIN,78702,10229991,Routine Inspection,
"BBCO, LLC dba Breed & Co",,4/6/2018,96,"718 W 29TH ST
AUSTIN, TX 78705
(30.296728229768544, -97.74466296246943)",AUSTIN,78705,11468113,Routine Inspection,
Village on the Park Onion Creek LLC,,10/20/2017,98,"11300 FARRAH LN
AUSTIN, TX 78748
(30.14146158703543, -97.80081401075675)",AUSTIN,78748,11476954,Routine Inspection,
Flores Mexican Restaurant,,8/11/2016,90,"4625 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.223367798822277, -97.84359560358882)",AUSTIN,78749,11265576,Routine Inspection,
BC - Bamam,,9/26/2018,96,"14211 W SH
BEE CAVE, TX 78738
(30.309209385434627, -97.96321926612337)",AUSTIN,78738,10737435,Routine Inspection,
RW - Mr. Gatti's,,3/14/2018,91,"2802 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.271504219601752, -97.78912420430382)",AUSTIN,78746,2802602,Routine Inspection,
Express Food Mart #5,,9/18/2017,91,"1515 FM
PFLUGERVILLE, TX 78660
(30.441844700129664, -97.66697577974558)",AUSTIN,78660,10771946,Routine Inspection,
Subway #45205,SUBWAY,12/11/2017,100,"9900 W PARMER LN
AUSTIN, TX 78717
(30.48704410392957, -97.77021977503361)",AUSTIN,78717,10340373,Routine Inspection,
Ramen Tatsu-Ya Commissary Kitchen,,8/21/2018,94,"1030 NORWOOD PARK BLVD
AUSTIN, TX 78753
(30.33915864070419, -97.69116919261224)",AUSTIN,78753,11334153,Routine Inspection,
Spun Ice Cream,,12/11/2017,97,"1912 E 7TH ST
AUSTIN, TX 78702
(30.26266550235387, -97.72114286572763)",AUSTIN,78702,11446261,Routine Inspection,
The Goddard School,,9/6/2018,100,"2111 FRATE BARKER RD
AUSTIN, TX 78748
(30.149046445357946, -97.84161786180513)",AUSTIN,78748,10332373,Routine Inspection,
Rincon Catracho Restaurant,,9/14/2016,82,"1729 E RIVERSIDE DR
AUSTIN, TX 78741
(30.2432308582188, -97.73038414180246)",AUSTIN,78741,10926960,Routine Inspection,
WL - Waterfall Restaurant @ Westlake Surgical,,1/7/2019,91,"5656 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.294981325814927, -97.8244420407277)",AUSTIN,78746,2803254,Routine Inspection,
Accent Food Services,,4/17/2017,96,"5930 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.32265767168961, -97.71218922532869)",AUSTIN,78752,11313924,Routine Inspection,
Oak Hill Elementary School,,5/17/2018,92,"6101 PATTON RANCH RD
AUSTIN, TX 78735
(30.2374938776256, -97.85875912430049)",AUSTIN,78735,2800333,Routine Inspection,
Archer Hotel - Austin,,12/5/2018,80,"3121 PALM WAY
AUSTIN, TX 78758
(30.402203605806942, -97.72116124031875)",AUSTIN,78758,11559064,Routine Inspection,
Contigo Catering LLC,,3/7/2017,93,"3709 PROMONTORY POINT DR
AUSTIN, TX 78744
(30.209622594994592, -97.726511569771)",AUSTIN,78744,11426364,Routine Inspection,
Family Dollar #28201,,2/27/2018,95,"3851 AIRPORT BLVD
AUSTIN, TX 78722
(30.28963998801701, -97.70665015569975)",AUSTIN,78722,10393618,Routine Inspection,
Barnison Catering,,4/25/2018,85,"2614 EXPOSITION BLVD
AUSTIN, TX 78703
(30.302055991018335, -97.76560051479046)",AUSTIN,78703,10323264,Routine Inspection,
Borderless European Market,,11/21/2018,100,"1934 RUTLAND DR
AUSTIN, TX 78758
(30.37972686102324, -97.7130269220052)",AUSTIN,78758,11574699,Routine Inspection,
Clive Bar,,2/7/2019,91,"609 DAVIS ST
AUSTIN, TX 78701
(30.260070032560215, -97.73860039632261)",AUSTIN,78701,10307086,Routine Inspection,
Caritas Of Austin,,1/4/2019,95,"501 E 7TH ST
AUSTIN, TX 78701
(30.270171999231017, -97.74724550967109)",AUSTIN,78701,2801462,Routine Inspection,
7-Eleven Convenience Store #36561A,,8/4/2017,90,"1822 RUTLAND DR
AUSTIN, TX 78758
(30.378876566221404, -97.71165981715822)",AUSTIN,78758,11473247,Routine Inspection,
Taco Bell #030080,TACO BELL,1/9/2018,99,"3324 W SLAUGHTER LN
AUSTIN, TX 78748
(30.182540655816876, -97.84654012107984)",AUSTIN,78748,11066730,Routine Inspection,
Accent Food Services,,5/2/2018,99,"1701 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.226881638347837, -97.78462095628937)",AUSTIN,78745,11749118,Routine Inspection,
Mom's Taste,,10/31/2017,76,"6613 AIRPORT BLVD
AUSTIN, TX 78752
(30.33097034393841, -97.71514852793337)",AUSTIN,78752,10000448,Routine Inspection,
Rio,,3/8/2017,87,"601 RIO GRANDE ST
AUSTIN, TX 78701
(30.270095529844266, -97.74927184141275)",AUSTIN,78701,10792842,Routine Inspection,
Baldwin Elementary,,2/21/2017,100,"12200 MERIDIAN PARK BLVD
AUSTIN, TX 78739
(30.18510736357803, -97.92304163700796)",AUSTIN,78739,10492636,Routine Inspection,
Polvos En La Brissa,,6/29/2018,88,"14735 BRATTON LN
AUSTIN, TX 78728
(30.446246168083807, -97.68577138370763)",AUSTIN,78728,10835756,Routine Inspection,
NLand Brewing,,5/10/2018,95,"4836 E SH
AUSTIN, TX 78617
(30.18873882235963, -97.58092112807753)",AUSTIN,78617,11768001,Routine Inspection,
The Ranch,,11/2/2016,90,"710 W 6TH ST
AUSTIN, TX 78701
(30.27026065689736, -97.75005907091438)",AUSTIN,78701,10119908,Routine Inspection,
CoCo's Cafe,,4/13/2017,84,"1910 GUADALUPE ST
AUSTIN, TX 78705
(30.282661389274384, -97.74243502520173)",AUSTIN,78705,2801586,Routine Inspection,
360 Uno,,2/16/2017,71,"3801 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.336353110772837, -97.80418410271542)",AUSTIN,78746,11358302,Routine Inspection,
Good Shepherd Parish Life Center,,10/4/2016,99,"3201 WINDSOR RD
AUSTIN, TX 78703
(30.296958025046695, -97.76930478176826)",AUSTIN,78703,11392135,Routine Inspection,
COTA - Cafe Paddocks,,4/20/2018,93,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229021,Routine Inspection,
"Cornucopia Popcorn, Inc",,9/7/2016,95,"3211 RED RIVER ST
AUSTIN, TX 78705
(30.291299495418205, -97.72655136787704)",AUSTIN,78705,11081979,Routine Inspection,
Del Valle ISD- Concession Stand #1 (Home),,4/5/2018,99,"5201 ROSS RD
AUSTIN, TX 78617
(30.178817090159956, -97.61262598510265)",AUSTIN,78617,10333612,Routine Inspection,
Clifton Center,,5/16/2017,97,"1519 CORONADO HILLS DR
AUSTIN, TX 78752
(30.32660010712512, -97.687287637379)",AUSTIN,78752,2800600,Routine Inspection,
McDonald's  #10125,McDonald's,12/6/2017,88,"2114 W SLAUGHTER LN
AUSTIN, TX 78748
(30.174265056283343, -97.82661408857449)",AUSTIN,78748,2801777,Routine Inspection,
Fairmont Austin - Gold Lounge (Level 35),,10/18/2018,98,"101 RED RIVER ST
AUSTIN, TX 78701
(30.26199258254312, -97.73863459223553)",AUSTIN,78701,11853714,Routine Inspection,
Kocurek Elementary,,9/4/2018,100,"9800 CURLEW DR
AUSTIN, TX 78748
(30.17797499550121, -97.83410373879461)",AUSTIN,78748,2800681,Routine Inspection,
Smoothie Factory,,2/8/2019,91,"4404 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.223628115928914, -97.83951594127925)",AUSTIN,78749,11283822,Routine Inspection,
Costco Wholesale #641,,7/19/2018,99,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22138854436619, -97.83965356712693)",AUSTIN,78749,2803938,Routine Inspection,
"Club Demonstration Services, Inc",,6/26/2018,98,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22138854436619, -97.83965356712693)",AUSTIN,78749,11269878,Routine Inspection,
Madam Mam,,3/26/2018,82,"510 W 26TH ST
AUSTIN, TX 78705
(30.291003901096854, -97.74257897623578)",AUSTIN,78705,11708918,Routine Inspection,
CVS/Pharmacy #3881,,11/21/2017,96,"520 W SLAUGHTER LN
AUSTIN, TX 78748
(30.172391555861434, -97.79907577030592)",AUSTIN,78748,10017515,Routine Inspection,
P. Terry's Burger Stand,,8/21/2017,92,"3303 N LAMAR BLVD
AUSTIN, TX 78705
(30.301737206524518, -97.74482893323945)",AUSTIN,78705,10233915,Routine Inspection,
Burger King #3990,Burger King,10/3/2016,83,"13450 N US 183 HWY
AUSTIN, TX 78750
(30.44752370751305, -97.7908719204008)",AUSTIN,78750,11428794,Routine Inspection,
Taco More,,11/28/2018,94,"1325 RUTLAND DR
AUSTIN, TX 78758
(30.369512636369016, -97.70654431590233)",AUSTIN,78758,2802210,Routine Inspection,
Signature #9,,8/9/2016,90,"900 N IH
AUSTIN, TX 78701
(30.269065700873046, -97.73408739701087)",AUSTIN,78701,10769075,Routine Inspection,
P. Terry's Burger Stand,,10/9/2018,90,"404 S LAMAR BLVD
AUSTIN, TX 78704
(30.261997409743127, -97.7583371752301)",AUSTIN,78704,2802815,Routine Inspection,
St. Gabriel Catholic School,,9/19/2018,100,"2500 WIMBERLY LN
AUSTIN, TX 78735
(30.291942128581077, -97.87411042017567)",AUSTIN,78735,2801307,Routine Inspection,
Central Texas Rehabilitation Hospital,,8/25/2016,88,"700 W 45TH ST
AUSTIN, TX 78751
(30.312232394916244, -97.73459882591013)",AUSTIN,78751,10755083,Routine Inspection,
RBM Food Mart,,1/29/2018,90,"2601 MANOR RD
AUSTIN, TX 78722
(30.284820871630227, -97.7151966833854)",AUSTIN,78722,10229507,Routine Inspection,
Cedars International High School,,10/17/2017,94,"6700 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.328569609994148, -97.70736500898124)",AUSTIN,78752,11574361,Routine Inspection,
MN- Shadowglen Elementary,,1/9/2018,100,"12000 SHADOWGLEN TRCE
MANOR, TX 78653
(30.3650083430546, -97.54022513803751)",AUSTIN,78653,11402734,Routine Inspection,
"Project Transitions, Inc",,1/16/2019,96,"5606 ROOSEVELT AVE
AUSTIN, TX 78756
(30.32792056611476, -97.73246379042268)",AUSTIN,78756,2801122,Routine Inspection,
Sushi Japon Steak House,,1/17/2019,74,"807 CAMINO LA
AUSTIN, TX 78752
(30.328918925880828, -97.70481589305669)",AUSTIN,78752,11008369,Routine Inspection,
Twice the Ice,,4/14/2017,100,"746 W STASSNEY LN
AUSTIN, TX 78745
(30.209155920811476, -97.78348070880617)",AUSTIN,78745,10952835,Routine Inspection,
Whataburger,,5/16/2018,90,"6611 S MOPAC EXPY
AUSTIN, TX 78749
(30.220293180621127, -97.83530045596157)",AUSTIN,78749,2802441,Routine Inspection,
Zilker Elementary,,4/18/2017,100,"1900 BLUEBONNET LN
AUSTIN, TX 78704
(30.252752928103025, -97.77436594953285)",AUSTIN,78704,2800280,Routine Inspection,
Sustainable Food Center,,1/19/2017,97,"2921 E 17TH ST
AUSTIN, TX 78702
(30.279088365711505, -97.71004011350263)",AUSTIN,78702,10979756,Routine Inspection,
Gus Garcia Recreation Center,,1/8/2018,100,"1201 E RUNDBERG LN
AUSTIN, TX 78753
(30.35382680343088, -97.6816590194339)",AUSTIN,78753,10184409,Routine Inspection,
"Micah 6 of Austin, Texas",,9/15/2017,98,"2203 SAN ANTONIO ST
AUSTIN, TX 78705
(30.285550676186013, -97.74247815844384)",AUSTIN,78705,10370003,Routine Inspection,
MN - Eintrage Gas Station,,2/8/2019,96,"12305 EINTRAGE DR
MANOR, TX 78653
(30.346960128210274, -97.56509772560533)",AUSTIN,78653,11508097,Routine Inspection,
BC - Sonesta Bee Cave,,9/18/2017,93,"12525 BEE CAVE PKWY
BEE CAVE, TX 78738
(30.309709129706167, -97.93543047972575)",AUSTIN,78738,11330041,Routine Inspection,
Jack in the Box #912,,4/10/2017,81,"6540 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.30385532665203, -97.66188432920791)",AUSTIN,78723,10790632,Routine Inspection,
Sodexo at Farmers Insurance,,12/20/2017,96,"15700 LONG VISTA DR
AUSTIN, TX 78728
(30.455395213600575, -97.6735693531089)",AUSTIN,78728,10909100,Routine Inspection,
Athena Montessori Academy,,11/29/2017,100,"1503 MORGAN LN
AUSTIN, TX 78704
(30.229220896871947, -97.78096678903313)",AUSTIN,78704,10811229,Routine Inspection,
Edible Arrangements,,9/7/2017,94,"507 PRESSLER ST
AUSTIN, TX 78703
(30.273164368340424, -97.76014728209098)",AUSTIN,78703,10637849,Routine Inspection,
Starbucks Coffee #15747,STARBUCKS,12/22/2016,92,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.45466085812116, -97.82589582349742)",AUSTIN,78726,10657955,Routine Inspection,
Wagabag #19,,7/12/2018,97,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.369177603278988, -97.8926312566579)",AUSTIN,78732,2803935,Routine Inspection,
Fresh Heim,,8/23/2016,84,"13776 N US 183 HWY
AUSTIN, TX 78750
(30.462188307760552, -97.79721393938739)",AUSTIN,78750,11267435,Routine Inspection,
Jamba Juice,,10/26/2016,91,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.306359708243914, -97.70916767483146)",AUSTIN,78723,10252628,Routine Inspection,
Tarka Indian Kitchen,,12/20/2017,94,"11501 ROCK ROSE AVE
AUSTIN, TX 78758
(30.40084038245743, -97.72263914144837)",AUSTIN,78758,11404881,Routine Inspection,
Master Donuts,,2/20/2019,97,"6100 E RIVERSIDE DR
AUSTIN, TX 78741
(30.22642269408713, -97.70574267831606)",AUSTIN,78741,11122788,Routine Inspection,
COTA - Velocity,,4/21/2017,92,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11228861,Routine Inspection,
Stepping Stone School,,4/19/2017,98,"12301 HYMEADOW DR
AUSTIN, TX 78750
(30.454301200734587, -97.79688971179067)",AUSTIN,78750,10243103,Routine Inspection,
Roppolo's Pizzeria II,,11/30/2018,95,"414 E 6TH ST
AUSTIN, TX 78701
(30.267232087141792, -97.73860831285205)",AUSTIN,78701,2803157,Routine Inspection,
Southern Burger Bistro Co.,,10/19/2016,96,"2039 AIRPORT BLVD
AUSTIN, TX 78722
(30.284579366053652, -97.70446748919467)",AUSTIN,78722,10561044,Routine Inspection,
American Legion Post #83,,9/27/2016,97,"4401 E ST ELMO RD
AUSTIN, TX 78744
(30.20627229956499, -97.74021460187437)",AUSTIN,78744,2800090,Routine Inspection,
Little Caesars Pizza,,6/6/2018,86,"13770 N US 183 HWY
AUSTIN, TX 78750
(30.461615275023366, -97.79538102996989)",AUSTIN,78750,10532387,Routine Inspection,
Daily Juice Cafe,,7/14/2017,85,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.45466085812116, -97.82589582349742)",AUSTIN,78726,11453935,Routine Inspection,
Child Craft School,,12/28/2016,100,"800 W 30TH ST
AUSTIN, TX 78705
(30.29841939009863, -97.74519287439651)",AUSTIN,78705,11468467,Routine Inspection,
